351471.7009,3647557.073
351521.0373,3647559.228
351574.1303,3647569.664
351473.965,3647566.424
351488.1055,3647578.161
351505.3291,3647594.537
351461.9095,3647601.086
351461.9095,3647601.086
351689.7463,3647613.725
351689.7463,3647613.725
351689.7463,3647613.725
351490.9449,3647609.903
351506.7587,3647611.312
351505.233,3647615.545
351460.5434,3647615.153
351420.9161,3647629.08
351479.5162,3647637.811
351475.8905,3647642.413
351508.3196,3647645.602
351496.2559,3647650.327
351475.1249,3647655.036
351506.4366,3647658.971
351468.9331,3647660.329
351480.741,3647662.146
351470.0089,3647667.601
351571.3989,3647674.277
351480.5718,3647678.068
351546.5457,3647699.966
351461.1399,3647697.304
351572.8678,3647734.094
351572.8678,3647734.094
351311.3342,3647762.391
351706.1105,3647784.155
351497.5279,3647777.803
351307.0222,3647772.954
351493.4074,3647781.144
351303.4878,3647786.824
351499.0288,3647806.669
351499.1878,3647807.24
351509.1165,3647813.05
351517.1194,3647817.091
351473.7292,3647815.959
351393.9359,3647815.89
351497.9365,3647823.006
351467.0231,3647822.814
351495.0901,3647823.912
351466.8534,3647829.473
351468.3046,3647836.42
351466.3989,3647836.459
351467.2205,3647838.637
351555.5774,3647842.319
351454.7264,3647842.78
351466.6775,3647843.248
351469.3363,3647844.82
351460.9583,3647845.735
351486.1443,3647862.536
351496.9824,3647863.637
351443.4791,3647870.696
351455.7835,3647871.403
351466.7963,3647874.996
351466.7963,3647874.996
351469.486,3647875.779
351471.1379,3647879.911
351450.1089,3647882.026
351490.9508,3647888.028
351451.8473,3647890.905
351820.119,3647917.851
351454.275,3647905.347
351450.8677,3647906.682
351618.1819,3647913.225
351287.3031,3647901.644
351274.9154,3647907.712
351307.1096,3647912.246
351432.2706,3647918.494
351498.487,3647922.552
351464.7508,3647945.86
351495.2913,3647957.899
351496.2542,3647961.1
351370.9283,3647956.764
351495.9517,3647961.878
351473.9467,3647961.131
351463.9422,3647978.137
351492.2943,3647992.801
351473.4212,3648004.716
351494.6447,3648011.533
351488.8555,3648025.089
351491.6489,3648025.537
351500.6687,3648054.583
351581.1184,3648065.637
351567.1516,3648068.028
351550.3535,3648112.671
351490.5049,3648110.444
351559.1158,3648115.838
351336.8906,3648120.027
351508.3573,3648140.852
351900.6833,3648159.931
351473.6657,3648163.106
351473.6657,3648163.106
351476.6805,3648176.441
