,lat,lon,Gamma
0,351689.7463,3647613.725,1.0
1,351466.7963,3647874.996,0.4111117743984921
2,351461.9095,3647601.086,0.3424317350941342
3,351473.6657,3648163.106,0.30503210169555645
4,351572.8678,3647734.094,0.155369837694129
5,351496.2542,3647961.1,0.1365657501792723
6,351499.0288,3647806.669,0.11337214800464283
7,351466.3989,3647836.459,0.05783409104478581
8,351468.3046,3647836.42,0.0028604106079968077
